"Report Group Date","VehicleReg","DriverID","VehicleStatus","MOBILESPEED","MOBILEODO","Location","SkillSet","MsgTypeId","LocationTolerance","STATUS1"
"4/7/2025 7:16:00 PM","JB 61 HF GP","","Driving","78","183.290","Long : 28.25494. Lat : -25.81744","","1","",""
"4/7/2025 7:18:00 PM","JB 61 HF GP","","Driving","79","185.655","Long : 28.24291. Lat : -25.82845","","1","",""
"4/7/2025 7:20:00 PM","JB 61 HF GP","","Driving","56","187.986","Long : 28.22858. Lat : -25.8147","","1","",""
"4/7/2025 7:22:00 PM","JB 61 HF GP","","Driving","60","189.584","Long : 28.21505. Lat : -25.80936","","1","",""
"4/7/2025 7:24:00 PM","JB 61 HF GP","","Driving","42","191.497","Long : 28.20036. Lat : -25.81848","","1","",""
"4/7/2025 7:26:00 PM","JB 61 HF GP","","Driving","75","193.180","Long : 28.18471. Lat : -25.82178","","1","",""
"4/7/2025 7:28:00 PM","JB 61 HF GP","","Driving","0","195.301","Long : 28.16387. Lat : -25.82384","","1","",""
"4/7/2025 7:30:00 PM","JB 61 HF GP","","Driving","59","196.788","Long : 28.15075. Lat : -25.82972","","1","",""
"4/7/2025 7:32:00 PM","JB 61 HF GP","","Driving","27","198.335","Long : 28.13616. Lat : -25.83347","","1","",""
"4/7/2025 7:34:00 PM","JB 61 HF GP","","Driving","39","199.493","Long : 28.1426. Lat : -25.84051","","1","",""
"4/7/2025 7:36:00 PM","JB 61 HF GP","","Speed Violation","21","200.148","Long : 28.13978. Lat : -25.84164","","1","",""
"4/7/2025 7:38:00 PM","JB 61 HF GP","","Driving","0","200.547","Long : 28.13693. Lat : -25.84317","","1","",""
"4/7/2025 7:40:00 PM","JB 61 HF GP","","Driving","0","200.547","Long : 28.13693. Lat : -25.84317","","1","",""
"4/7/2025 7:40:48 PM","JB 61 HF GP","","Ignition off","0","200.547","Long : 28.13693. Lat : -25.84317","","1","",""
"4/8/2025 4:00:01 AM","JB 61 HF GP","","Health Check; (Ignition off)","0","200.547","Long : 28.13679. Lat : -25.84333","","1","",""
"4/8/2025 5:41:46 AM","JB 61 HF GP","","Start up","0","200.547","Long : 28.13679. Lat : -25.84333","","1","",""
"4/8/2025 5:42:00 AM","JB 61 HF GP","","Speed Violation","23","200.613","Long : 28.13734. Lat : -25.84321","","1","",""
"4/8/2025 5:44:00 AM","JB 61 HF GP","","Driving","17","201.394","Long : 28.14347. Lat : -25.84224","","1","",""
"4/8/2025 5:46:00 AM","JB 61 HF GP","","Driving","28","202.414","Long : 28.15105. Lat : -25.84387","","1","",""
"4/8/2025 5:48:00 AM","JB 61 HF GP","","Driving","43","203.318","Long : 28.15359. Lat : -25.84111","","1","",""
"4/8/2025 5:50:00 AM","JB 61 HF GP","","Driving","46","204.594","Long : 28.16602. Lat : -25.84099","","1","",""
"4/8/2025 5:52:00 AM","JB 61 HF GP","","Driving","25","205.822","Long : 28.17801. Lat : -25.8389","","1","",""
"4/8/2025 5:52:52 AM","JB 61 HF GP","","GSM Jam","22","206.381","Long : 28.18352. Lat : -25.83867","","1","",""
"4/8/2025 5:54:00 AM","JB 61 HF GP","","Driving","65","206.677","Long : 28.1837. Lat : -25.84052","","1","",""
"4/8/2025 5:56:00 AM","JB 61 HF GP","","Driving","85","209.757","Long : 28.17193. Lat : -25.86583","","1","",""
"4/8/2025 5:58:00 AM","JB 61 HF GP","","Driving","90","212.562","Long : 28.16579. Lat : -25.89048","","1","",""
"4/8/2025 6:00:00 AM","JB 61 HF GP","","Driving","76","214.908","Long : 28.15703. Lat : -25.91002","","1","",""
"4/8/2025 6:02:00 AM","JB 61 HF GP","","Speed Violation","57","217.015","Long : 28.14666. Lat : -25.92654","","1","",""
"4/8/2025 6:04:00 AM","JB 61 HF GP","","Driving","79","219.388","Long : 28.13714. Lat : -25.94614","","1","",""
"4/8/2025 6:06:00 AM","JB 61 HF GP","","Driving","85","221.968","Long : 28.12997. Lat : -25.96849","","1","",""
"4/8/2025 6:08:00 AM","JB 61 HF GP","","Driving","97","224.608","Long : 28.12292. Lat : -25.99138","","1","",""
"4/8/2025 6:10:00 AM","JB 61 HF GP","","Driving","91","227.730","Long : 28.11442. Lat : -26.01822","","1","",""
"4/8/2025 6:12:00 AM","JB 61 HF GP","","Driving","73","230.678","Long : 28.10305. Lat : -26.04225","","1","",""
"4/8/2025 6:14:00 AM","JB 61 HF GP","","Driving","47","233.438","Long : 28.09267. Lat : -26.06333","","1","",""
